sentence	source	label
1등 한 사람 제가 치킨 사도록 하겠습니다	audio_1	
2학년 3반	audio_1	
3단계 애개 스키 어우 야 움직이지 마라 잠깐만 자	audio_1	
4분 4분만	audio_1	
7초 7초 비켜 비켜야해 비켜야해 비켜줘 3초 2초 자 갑니다	audio_1	
7초 얘들아 할 수 있어 먹어 먹어 내려와 자 야 저것도 가져와 오케이 이제 알았다	audio_1	
가만있어	audio_1	
가만있어 가만있어	audio_1	
가만있어 아무것도 하지마 그냥 바로 가자 바로 가자 바로 가자 그렇지	audio_1	
가만있어 올라가	audio_1	
가면 돼요	audio_1	
가봐	audio_1	
가운데 오시고 자 그럼 핑크색 가세요	audio_1	
가자	audio_1	
가자 가자 가자 바로 가자 바로 가자 가만있어	audio_1	
가자 가자 간다	audio_1	
같이 오케이 오케이 오케이 잠깐만 들어가지 마봐 들어가지 마봐 가자 가자 가자 잠깐 멈춰봐봐	audio_1	
계단 쌓아줘야 돼 계단 먹고 나이스 다 먹었다	audio_1	
계단 이게 삼각형을 만들 수 있거든요	audio_1	
계단 타	audio_1	
계단계단계단계단 나이스 나이스 올라오세요	audio_1	
고인세	audio_1	
그거	audio_1	
그거 잘 맞	audio_1	
그거를 손 뗐거든요	audio_1	
그게 맞는 것 같아요	audio_1	
그냥 가도 되는구나	audio_1	
그냥 그 저번처럼 자기 시점 녹화를 해서 어 이거 이거 뭐죠	audio_1	
그래 엘리베이터 올라가요	audio_1	
그래서 배틀로 가도록 하겠습니다	audio_1	
그랬냐	audio_1	
그러면 아우 너무 쉬운데	audio_1	
그러면 저	audio_1	
그렇기 때문에 내가 한번 밟아볼게 이거 한 명이라고 인식할 수 있단 말이지 굉장히 싱크빅이었다	audio_1	
그렇지	audio_1	
그렇지 7초 남았다	audio_1	
그렇지 가만히 있어 밀어 앞으로 밀어 다 밀어	audio_1	
그렇지 그 다음 그렇지 그 다음 가 가 예 그 다음 가 빡 자 그렇 자 오케이 요씨 끌어올려줘	audio_1	
그렇지 그렇지 가만히 있어줘 가만히 있으면 그게 바로 신호 아니겠어	audio_1	
그렇지 그렇지 그렇지 3학년 3반 뭐야	audio_1	
그렇지 그렇지 그렇지 이렇게 하고 제가 여기 올라가서 자 밀어 이제 밀어 하나씩 쪼금씩 야아 다시 들어와 다시 뒤로 와	audio_1	
그렇지 그렇지 살려줘	audio_1	
그렇지 그렇지 아니 나와	audio_1	
그렇지 나와 나와 나와 자 비켜주시고 비켜주시고 나와 나와 비켜주세요	audio_1	
그렇지 두명이서 먹어줘	audio_1	
그렇지 들어가	audio_1	
그렇지 밀어 다 앞에 눌러야돼	audio_1	
그렇지 여기도 먹어	audio_1	
그렇지 여기도 여기도 먹어	audio_1	
그렇지 오세요	audio_1	
그렇지 올라가 올라가 그렇지 밟아 계속 밟아 계속 밟아줘야 돼	audio_1	
그렇지 올라가줘	audio_1	
그렇지 움직이지 마	audio_1	
그렇지 좋았다 좋았다	audio_1	
그렇지 짜자자자자자자 오케이 여기 계단이죠	audio_1	
김치입니다	audio_1	
끝끝끝 나	audio_1	
나 먹었다	audio_1	
나 이거 잘했어	audio_1	
나야	audio_1	
나이스	audio_1	
내가	audio_1	
내가 밀게	audio_1	
내가 발판 해줄게	audio_1	
내려와야 돼요	audio_1	
너는 계속 밟아주고 있어야 돼 오케이 오 뭐지	audio_1	
너무	audio_1	
네 누구시죠	audio_1	
네 밀어주세요	audio_1	
네 밟고 한명씨 그 다음 주황색 같이같이 아 아니 뭐야 누구야 주황색 o 실패 실패 오케 움직이지마 움직이지마 간다 요시	audio_1	
네 윤누님 밀어드리고 자 그만 밀어 너무 많이 밀지마	audio_1	
네 자 누구시죠	audio_1	
네 자 이렇게 모였습니다	audio_1	
노란색님 준비되셨어요	audio_1	
느낌이 3학년 1반 어 뭐야 이거 뭐야	audio_1	
다 가면 안 돼	audio_1	
다 뒤로 오세요	audio_1	
다 먹어야 되나봐	audio_1	
다 먹어야 되나봐 빨리빨리	audio_1	
다 밟고 밟으면 초가 늘어나니까 다 밟고 찾아가야 돼	audio_1	
다 이제 내려와 자 지나갈게요 지나갈게요	audio_1	
다 지금 뒤로 와	audio_1	
다 타는거 다 타는거 자 우리 새로운게 나올때는 지켜보자고 오케이	audio_1	
다 타야 돼	audio_1	
다시 돌아가야 돼	audio_1	
다시 하기에는 시간이 너무 많은데	audio_1	
다시 하자	audio_1	
다시 해야겠다	audio_1	
다음 이제 3단계 갈 거예요	audio_1	
더 내려와봐요	audio_1	
돌아가	audio_1	
들어가보세요 였쓰	audio_1	
들어가봐	audio_1	
들어가세요	audio_1	
들어와	audio_1	
들어와 가자	audio_1	
들어와 들어와	audio_1	
들어와 들어와 들어와	audio_1	
들어와 문 열어	audio_1	
따라가자	audio_1	
또 또 또 이거 뭐야	audio_1	
또 앞서가지 말고 줄 꼬였잖아	audio_1	
띠어야 돼 띠어야 돼	audio_1	
말 들어주세요	audio_1	
맨 뒤로 오시고 빨간색방 가운데로 오세요	audio_1	
맨 마지막에는 한 명만 남으면 되는 거예요	audio_1	
먹어	audio_1	
먹어주고 윤여 님 윤여 님 데려와야 해 으응	audio_1	
먹어줘	audio_1	
먹어줘 여기 먹어	audio_1	
먼저 가기보다는 우리 서로의 발판이 되어주자 우리 서로의 발판이 되어주자	audio_1	
문 열게요 비켜주세요	audio_1	
문 열려	audio_1	
문 열어세요	audio_1	
문 열어줍시다	audio_1	
문 열어줘	audio_1	
뭐 고무중놀이하는거야	audio_1	
뭐야	audio_1	
민호야	audio_1	
믿음	audio_1	
밀어	audio_1	
밀어 밀어오라오세요	audio_1	
바로 시작해보도록 하겠습니다	audio_1	
바로바로 피꼬 파크 네 오늘 해안저스 여러분들을 데리고 피코파크라는 협동게임을 해보려고 합니다	audio_1	
박스 박스 치워주	audio_1	
박스 치워주	audio_1	
박스 치워주시고 야 5초 남았다	audio_1	
발꼬임 발꼬임	audio_1	
발판 움직여줘야지 이제 그렇지 위에 서로 발판 해줘야돼	audio_1	
밟아	audio_1	
밟으면 밟을수록 뭐가 늘어나네 올라가 올라가	audio_1	
버텨줘요	audio_1	
봐봐	audio_1	
블럭	audio_1	
비켜	audio_1	
비켜봐	audio_1	
비켜줘야죠	audio_1	
빨간 인포임	audio_1	
빨리 들어와	audio_1	
빨리 들어와 자 3학년 2반 자 일단 뭐야	audio_1	
뿡 내꺼야 뿡 내꺼야	audio_1	
사랑	audio_1	
살려줘 살려줘 끝까지 끝까지 끝까지 아 끝까지 끝까지 오케이 아니 나와 나와 빨리 나오세요	audio_1	
서로 그냥 서로 얘기하는 거예요	audio_1	
쉽네	audio_1	
시스템이 안 맞다	audio_1	
아 가자	audio_1	
아 그거였어	audio_1	
아 나 진짜 미친 아저씨야	audio_1	
아 님들	audio_1	
아 님들 화이팅	audio_1	
아 다 했네	audio_1	
아 뭐	audio_1	
아 뭐야 뭐야 아니야 아니야 여기서 이번에도 또 그거 해야 될 것 같애	audio_1	
아 여러분들 2단계부터 굉장히 힘들었습니다	audio_1	
아 오케이	audio_1	
아 올라갔더니 뭐라고요	audio_1	
아 이거 계단 만드는거야	audio_1	
아 이거 계속 밟아주고 올라가야 되는데	audio_1	
아 이거 계속 올라가는 거구나	audio_1	
아 이거 내가 올라가줘야 되는 거구나	audio_1	
아 이거 왼쪽에 밀어야 되네	audio_1	
아 이런식으로	audio_1	
아 이렇게 좋았습니다	audio_1	
아 이렇게요	audio_1	
아 이번엔 내가 캐리했다	audio_1	
아 좋았습니다	audio_1	
아 진짜 아쉽다	audio_1	
아니	audio_1	
아니 근데 왜 이렇게 한숨을 쉬세요	audio_1	
아니 나 엉클을 해봤지	audio_1	
아니 나 자기야	audio_1	
아니 뒤로 갔다니까요	audio_1	
아니 망설이지 말고 출발 구	audio_1	
아니 아니 누구야 이거 나이스 뭐야	audio_1	
아니 왜 그래	audio_1	
아니 이거 다밟아야되요	audio_1	
아니 이러면 어떡	audio_1	
아니 이즈 맞아요	audio_1	
아니 잠깐만	audio_1	
아니 키보드에 손이 안되는데 뒤로 갔다니까요	audio_1	
아니 한마디만 해도 돼요	audio_1	
아니아니 계단하자고 계단 이렇게 아니 계단하자고 계단 일로 가야돼	audio_1	
아니아니 들어	audio_1	
아니야	audio_1	
아니이이이이이이이이 흐하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하 아니 이게 진짜 실수로 진짜리 첫번째 번개 다시 해보자 우리 심박하게 우리가 어몽어스 아니에요	audio_1	
아닌가	audio_1	
아아아아아	audio_1	
아야	audio_1	
아오	audio_1	
아이 귀찮게 하시네 정말 자 기다려 기다려 기다려 기다리라고 전원이 다 타야 돼요	audio_1	
아직 안 끝났어요	audio_1	
안 닿는데	audio_1	
안 열렸잖아	audio_1	
안녕하세요	audio_1	
알겠죠	audio_1	
알았다	audio_1	
야 됐	audio_1	
야 똑똑해	audio_1	
야 요시	audio_1	
야 이거 2단계야	audio_1	
야 이러면 어떡	audio_1	
야 이쪽으로 같이 와줘 야 이거 한쪽 다 같이 먹어야 돼	audio_1	
야 자세해	audio_1	
야 크 크 크 이거 오늘 점심 두 그릇 먹은 사람 누구야	audio_1	
야아	audio_1	
야아 잠깐만 다 먹었어	audio_1	
야아아아아아 아니 왜 뒤로 가	audio_1	
야아아아악	audio_1	
야야 올라가 먹어	audio_1	
야하하하하하 아아아아악 윤누님	audio_1	
얘들아 그렇지 서로의	audio_1	
얘들아 뒤로 와 뒤로 뒤로 그치 좋아	audio_1	
어 가가가 줄여 밟고 올라가세요	audio_1	
어 그렇지 걔가 가 너가 가 너가 가 아 내가 갈게 비켜 비켜 가만히 있어 그렇지 그렇지 그렇지 빨리 들어와	audio_1	
어 아까처럼 하면 되겠다	audio_1	
어 에에 레쓰 엘레스키 1단계 어 됐다 아아아아 내머리 밟지 마셈 먼저 가 먼저 가 다같이 가자 다같이 가자	audio_1	
어 이건 뭐야	audio_1	
어몽어스가 제일 쉬웠던 것 같습니다	audio_1	
어휴씨 맨 위 맨 위 맨 위 내꺼임 맨 위 내꺼임	audio_1	
여기도 먹어	audio_1	
여기서 그러면 한 칸씩 움직여야겠죠	audio_1	
여러분 그냥 제 말 들으세요	audio_1	
여러분들 어떠셨어요	audio_1	
열쇠 주세요	audio_1	
열어	audio_1	
열어 열어라 참깨 들어가 잠깐만 우리 갇혔다	audio_1	
열었어	audio_1	
예 들어오세요	audio_1	
예 비켜주셔야죠	audio_1	
예 좋아요	audio_1	
오 야아 자 오케이 알아냈죠	audio_1	
오늘 해볼것은요 맞습니다	audio_1	
오른쪽 오른쪽으로 내려가서 좀 내려가 봅시다 몇 명 남으면 되는지 이거 뭐야	audio_1	
오른쪽으로 가면 버튼만 누르면 되는데 그걸로 가지를 못해서 Wallace apostle 고민해 안 맞아	audio_1	
오른쪽으로 내려가면 되지	audio_1	
오예에	audio_1	
오케이	audio_1	
오케이 내가 답답했구만	audio_1	
오케이 둘이 밀지 두 명 딱 맞지	audio_1	
오케이 알겠습니다	audio_1	
오케이 알겠죠	audio_1	
오케이 오케이	audio_1	
오케이 자 누구시죠	audio_1	
올라가	audio_1	
올라가고 해서 이제 다 끌고 올라가주면 돼요	audio_1	
올라오세요	audio_1	
왜 뒤로 가노	audio_1	
